id,year,name,mean,lower,upper,Rhat,n.eff
4J,4J-2021-2022,cp_1,56.7221084,56.00005157,57.81958598,1.000169105,17979
4J,4J-2021-2022,cp_2,85.35071181,81.37441542,86.99988899,1.000310426,7444
4J,4J-2021-2022,cp_3,173.4995185,173.0342811,173.9835989,0.999970289,32618
4J,4J-2021-2022,cp_4,192.4987618,192.0192663,192.9668199,0.999994612,31539
4J,4J-2021-2022,int_1,2.887232079,1.972183981,3.761735056,1.000045011,27579
4J,4J-2021-2022,int_2,15.42131949,14.11136172,16.68453695,1.000270637,21664
4J,4J-2021-2022,int_3,11.04135638,10.3235125,11.74557029,1.000008128,26113
4J,4J-2021-2022,int_4,53.0847751,51.57357256,54.69875061,1.000201919,27745
4J,4J-2021-2022,int_5,4.531906144,3.984726952,5.071186336,1.000081685,28359
4J,4J-2021-2022,sigma_1,3.384671167,3.133015588,3.646076557,1.00008981,26287
6J,6J-2019-2020,cp_1,123.5032209,123.0314985,123.9819368,1.000132393,36113
6J,6J-2019-2020,cp_2,130.4155405,129.0005717,131.5140196,1.000285017,14980
6J,6J-2019-2020,cp_3,162.1817939,157.9723161,164.8285503,1.020412002,1229
6J,6J-2019-2020,cp_4,280.6150475,270.052768,287.5942772,1.001446797,8996
6J,6J-2019-2020,int_1,0.250236258,-0.228706834,0.755382628,1.000080826,29301
6J,6J-2019-2020,int_2,11.70151213,9.927015269,13.402846,1.000049203,22930
6J,6J-2019-2020,int_3,5.924490085,5.084405075,6.744435966,1.000731731,9365
6J,6J-2019-2020,int_4,3.060665707,2.652081506,3.487795522,1.000045157,24591
6J,6J-2019-2020,int_5,0.372184921,-0.134865632,0.863186318,1.000163881,21382
6J,6J-2019-2020,sigma_1,2.238765687,2.064365204,2.418237117,0.999982037,25263
6J,6J-2020-2021,cp_1,120.0774081,118.0000165,121.8851414,1.000348186,8939
6J,6J-2020-2021,cp_2,169.511323,169.0082385,169.9698944,0.999978508,26753
6J,6J-2020-2021,cp_3,185.5090381,185.0514832,185.9998957,1.000016002,31695
6J,6J-2020-2021,cp_4,186.4974037,186.021426,186.9700413,1.000015338,31557
6J,6J-2020-2021,int_1,0.189750415,0.144724214,0.234879753,1.000058202,26832
6J,6J-2020-2021,int_2,0.821012318,0.748701609,0.891101306,1.000034141,27423
6J,6J-2020-2021,int_3,1.949157927,1.826998052,2.073609832,1.000034509,29255
6J,6J-2020-2021,int_4,8.592669931,8.099821322,9.088890836,1.000260555,25960
